GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.adapters.database.adapter,CategoryAdapter,101,9,4,0,17,4,8,1,6,1
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.adapters.database.entity,CategoryEntity,252,3,46,0,7,1,38,1,15,1
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.adapters.http.mapper.response,ICategoryResponseMapperImpl,66,3,6,0,20,1,5,1,2,1
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.adapters.http.mapper.request,ICategoryRequestMapperImpl,37,3,2,0,13,1,2,1,1,1
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.adapters.database.mapper,ICategoryMapperEntityImpl,99,3,8,0,30,1,7,1,3,1
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.domain.exception,EmptyFile,4,0,0,0,2,0,1,0,1,0
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.domain.exception,DuplicateString,4,0,0,0,2,0,1,0,1,0
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.domain.exception,RequiredInput,4,0,0,0,2,0,1,0,1,0
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.domain.exception,UpdateError,4,0,0,0,2,0,1,0,1,0
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.domain.exception,DuplicateRecord,4,0,0,0,2,0,1,0,1,0
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer,DaemovBackendEcommerApplication,5,3,0,0,2,1,1,1,1,1
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.domain.model,Category,53,0,0,0,22,0,11,0,11,0
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.adapters.http.dto.response,CategoryResponseDTO,33,0,0,0,6,0,6,0,6,0
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.adapters.http.controller,CategoryRestControllerAdapter,77,12,4,0,16,1,8,1,6,1
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.domain.api.usecase,UseCaseCategory,165,6,28,0,33,3,22,1,8,1
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.configuration,Constants,7,0,0,0,2,0,1,0,1,0
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.configuration,BeanConfigurationJava,0,23,0,0,0,3,0,3,0,3
DaemovBackendEcommer,DagemovBackend.DaemovBackendEcommer.adapters.http.dto.request,AddCategoryDTO,46,0,0,0,7,0,10,0,10,0
